job_name, mean_salary, max_salary, min_salary, first_grad, second_grad, third_grad, fourth_grad, fiveth_grad, first_department, second_department, third_department, fourth_department, fiveth_department, first_school, second_school, third_school, fourth_school, fiveth_school, first_skill, second_skill, third_skill, fourth_skill, fiveth_skill, number_of_entries 
Anestezi Hemþiresi, 2.650, 2.500, 2.850,Anestezi Teknikerliði (MYO), Hemþirelik ve Saðlýk Hizmetleri, Anestezi (MYO), Hemþirelik (MYO), Hemþirelik, Saðlýk, Hizmet, Sigortacýlýk, Çevre, Biliþim, Anadolu Üniversitesi, Atatürk Üniversitesi, Ýstanbul Aydýn Üniversitesi, Trakya Üniversitesi, Marmara Üniversitesi, Entübasyon,Ýþçi Saðlýðý ve Ýþ Güvenliði,-, -, -, 3,
Anestezi Teknikeri, 2.700, 2.070, 3.320,Anestezi Teknikerliði (MYO), Anestezi (MYO), Kimya, Biyoloji, Kamu Yönetimi, Saðlýk, Hizmet, Sigortacýlýk, Tekstil, Eðitim, Ýstanbul Bilim Üniversitesi, Marmara Üniversitesi, Ýstanbul Aydýn Üniversitesi, Ýstanbul Arel Üniversitesi, Trakya Üniversitesi, Ýþçi Saðlýðý ve Ýþ Güvenliði,-, -, -, -, 212,
Anestezi Teknisyeni, 2.680, 2.110, 3.250,Anestezi Teknikerliði (MYO), Anestezi (MYO), Saðlýk Kurumlarý Ýþletmeciliði, Hemþirelik ve Saðlýk Hizmetleri, Hemþirelik (MYO), Saðlýk, Hizmet, Sigortacýlýk, Eðitim, Gýda, Anadolu Üniversitesi, Ýstanbul Medipol Üniversitesi , Marmara Üniversitesi, Üsküdar Üniversitesi , Dokuz Eylül Üniversitesi, Ýþçi Saðlýðý ve Ýþ Güvenliði,-, -, -, -, 42,
Anestezi Uzmaný, -, -, -, Týp, Anestezi (MYO), Ýþletme, Hayvan Yetiþtiriciliði ve Saðlýðý (MYO),  Cerrahi Týp Bilimleri, -, -, -, -, -, Ýstanbul Üniversitesi (ÝÜ), Ankara Üniversitesi, Hacettepe Üniversitesi, Uludað Üniversitesi, Trakya Üniversitesi, Müzik,Microsoft Office Word,9 Yýldýr Fotoðrafçýlýkla Ýlgileniyorum,- Takým Halinde Uyumlu Çalýþabilme ( Koro, Spor Takýmlarý, Bilimsel Çalýþma Gruplarý ),PowerPoint,-,
Animasyon Sanatçýsý, -, -, -, Turizm ve Seyahat Ýþletmeciliði (MYO), Çizgi Film (Animasyon), Turizm ve Otel Ýþletmeciliði (MYO), Turizm Animasyon, Ýngiliz Dili ve Edebiyatý, Turizm, Reklam ve Tanýtým, Eðlence - Kültür - Sanat, Hizmet, Medya, Anadolu Üniversitesi, Akdeniz Üniversitesi, Mersin Üniversitesi, Muðla Üniversitesi, Dokuz Eylül Üniversitesi, 3D Max,Adobe After Effects,Adobe Flash,Adobe Illustrator,Adobe Photoshop,-,
Animatör, 2.820, 2.020, 3.640,Turizm Animasyon, Turizm ve Otel Ýþletmeciliði (MYO), Turizm Ýþletmeciliði, Ýþletme, Beden Eðitimi ve Spor Öðretmenliði, Turizm, Reklam ve Tanýtým, Eðlence - Kültür - Sanat, Hizmet, Eðitim, Anadolu Üniversitesi, Akdeniz Üniversitesi, Muðla Üniversitesi, Ege Üniversitesi, Mersin Üniversitesi, Adobe After Effects,Adobe Photoshop,-, -, -, 26,
Anjiyo Hemþiresi, 3.280, 2.040, 4.600,Hemþirelik ve Saðlýk Hizmetleri, Hemþirelik (MYO), Hemþirelik, Saðlýk Kurumlarý Ýþletmeciliði, Ýlk ve Acil (Paramedik), Saðlýk, Hizmet, Sigortacýlýk, Kimya, Eðitim, Anadolu Üniversitesi, Marmara Üniversitesi, Uludað Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Ýstanbul Aydýn Üniversitesi, Cpr,Ýþçi Saðlýðý ve Ýþ Güvenliði,-, -, -, 17,
Anjiyo Teknisyeni, 3.260, 2.440, 4.080,Týbbi Görüntüleme Teknikleri, Radyoloji (MYO), Biyoloji, Biyomedikal Cihaz Teknolojisi (MYO), Týbbi Laboratuvar (MYO), Saðlýk, Hizmet, Sigortacýlýk, Basým - Yayýn, Atýk Yönetimi ve Geri Dönüþüm, Anadolu Üniversitesi, Selçuk Üniversitesi, Ankara Üniversitesi, Erciyes Üniversitesi, Ýnönü Üniversitesi, Ýþ Zekasý,Kalite Yönetim Sistemleri,PARAMEDÝK,-, -, 18,
Antrenör, 3.140, 2.020, 4.570,Beden Eðitimi ve Spor Öðretmenliði, Antrenörlük Eðitimi, Spor Yöneticiliði, Rekreasyon Yönetimi, Ýþletme, Eðitim, Turizm, Hizmet, Saðlýk, Eðlence - Kültür - Sanat, Anadolu Üniversitesi, Kocaeli Üniversitesi, Gazi Üniversitesi, Ege Üniversitesi, Marmara Üniversitesi, Spor,Yüzme,Futbol,Basketbol,Voleybol,82,
Antrepo Müdürü, 5.500, 2.500, 10.420,Ýþletme, Endüstri Mühendisliði, Ýktisat, Kamu Yönetimi, Lojistik (MYO), Taþýmacýlýk, Üretim / Endüstriyel Ürünler, Kimya, Tekstil, Gýda, Anadolu Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Ýstanbul Üniversitesi (ÝÜ), Hacettepe Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Depo Operasyon,Depo Ve Lojistik Yönetimi,Depo Ve Stok Yönetimi,Genel Muhasebe,Gümrük mevzuatý,3,
Araç Muayene Teknisyeni, 2.840, 2.020, 3.770,Otomotiv (MYO), Makine (MYO), Makine, Otomotiv Öðretmenliði, Otomotiv Teknolojisi, Otomotiv, Hizmet, Elektrik & Elektronik, Biliþim, Taþýmacýlýk, Kocaeli Üniversitesi, Selçuk Üniversitesi, Anadolu Üniversitesi, Gazi Üniversitesi, Abant Ýzzet Baysal Üniversitesi, AutoCAD,Elektrik Kumanda Panolarý,Elektrik/Elektronik,SOLIDWORKS,-, 54,
Araç Muayene Uzmaný, 3.140, 2.500, 4.280,Otomotiv (MYO), Otomotiv Öðretmenliði, Makine (MYO), Makine, Mekatronik (MYO), Otomotiv, Hizmet, Elektrik & Elektronik, Biliþim, Yapý, Kocaeli Üniversitesi, Namýk Kemal Üniversitesi, Abant Ýzzet Baysal Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Gazi Üniversitesi, AutoCAD,SOLIDWORKS,-, -, -, 7,
Arama Motoru Optimizasyonu (SEO) Analisti, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Arama Motoru Optimizasyonu (SEO) Danýþmaný, 5.040, 2.120, 10.370,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 3,
Arama Motoru Optimizasyonu (SEO) Uzmaný, 4.320, 2.020, 6.640,Bilgisayar Teknolojisi ve Programlama (MYO), Ýþletme, Bilgisayar Programcýlýðý, MIS - Yönetim Biliþim Sistemleri, Bilgisayar Mühendisliði, Biliþim, Reklam ve Tanýtým, Medya, Ticaret, Basým - Yayýn, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Selçuk Üniversitesi, Sakarya Üniversitesi, Marmara Üniversitesi, Adobe After Effects,Adobe Illustrator,Adobe Photoshop,CSS,CSS3,32,
Arama Motoru Pazarlama (SEM) Uzmaný, -, -, -, Ýþletme, Uluslararasý Ýliþkiler, Ýþletme (Ýngilizce), Dýþ Ticaret (MYO), Ýstatistik, Reklam ve Tanýtým, Medya, Biliþim, Turizm, Danýþmanlýk, Marmara Üniversitesi, Anadolu Üniversitesi, Boðaziçi Üniversitesi, Ýstanbul Bilgi Üniversitesi, Ýstanbul Ticaret Üniversitesi, Advertising,Dijital Pazarlama,ETA,Google Adwords,Google Adwords Kampanya Yönetimi,-,
Aranjör, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Arapça Öðretmeni, 3.700, 2.500, 5.120,Ýlahiyat, Arap Dili ve Edebiyatý, Arapça Öðretmenliði, Ýlahiyat (MYO), Arapça Mütercim Tercümanlýk , Eðitim, Hizmet, Turizm, Danýþmanlýk, Topluluklar, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Atatürk Üniversitesi, Selçuk Üniversitesi, Ankara Üniversitesi, Adobe Photoshop,-, -, -, -, 11,
Arapça Tercüman, 3.290, 2.280, 4.300,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 72,
Araþtýrma Geliþtirme / Arge Müdürü, 9.610, 4.730, 14.490,Makine Mühendisliði, Kimya Mühendisliði, Kimya, Gýda Mühendisliði, Elektrik/Elektronik Mühendisliði, Kimya, Üretim / Endüstriyel Ürünler, Otomotiv, Elektrik & Elektronik, Tekstil, Orta Doðu Teknik Üniversitesi (ODTÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), Ege Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Uludað Üniversitesi, 3D Tasarým ve Modelleme Uygulamasý,AutoCAD,C#,C++,CAD/CAM,136,
Araþtýrma Geliþtirme / Arge Mühendisi, 4.330, 2.180, 6.490,Makine Mühendisliði, Elektrik/Elektronik Mühendisliði, Kimya Mühendisliði, Metalurji ve Malzeme Mühendisliði, Mekatronik Mühendisliði, Otomotiv, Üretim / Endüstriyel Ürünler, Elektrik & Elektronik, Biliþim, Kimya, Ýstanbul Teknik Üniversitesi (ÝTÜ), Yýldýz Teknik Üniversitesi (YTÜ), Orta Doðu Teknik Üniversitesi (ODTÜ), Kocaeli Üniversitesi, Ege Üniversitesi, Altium Desinger,Ansys,Ansys Workbench,AutoCAD,Autodesk Inventor,799,
Araþtýrma Geliþtirme / Arge Proje Mühendisi, 4.850, 2.150, 7.560,Makine Mühendisliði, Elektrik/Elektronik Mühendisliði, Kimya Mühendisliði, Metalurji ve Malzeme Mühendisliði, Mekatronik Mühendisliði, Otomotiv, Üretim / Endüstriyel Ürünler, Elektrik & Elektronik, Biliþim, Hizmet, Yýldýz Teknik Üniversitesi (YTÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), Orta Doðu Teknik Üniversitesi (ODTÜ), Kocaeli Üniversitesi, Dokuz Eylül Üniversitesi, Ansys,Ansys Workbench,AutoCAD,Autodesk Inventor,C,68,
Araþtýrma Geliþtirme / Arge Proje Yöneticisi, 7.380, 3.300, 11.740,Makine Mühendisliði, Kimya, Elektrik/Elektronik Mühendisliði, Kimya Mühendisliði, Bilgisayar Mühendisliði, Biliþim, Üretim / Endüstriyel Ürünler, Otomotiv, Elektrik & Elektronik, Kimya, Ýstanbul Teknik Üniversitesi (ÝTÜ), Orta Doðu Teknik Üniversitesi (ODTÜ), Yýldýz Teknik Üniversitesi (YTÜ), Gazi Üniversitesi, Ege Üniversitesi, 3D Tasarým ve Modelleme Uygulamasý,AutoCAD,Baský Devre Tasarýmý,Bütçe planlama ve raporlama,C++,32,
Araþtýrma Geliþtirme / Arge Sorumlusu, 4.700, 2.500, 7.320,Kimya, Kimya Mühendisliði, Makine Mühendisliði, Ýþletme, Elektrik/Elektronik Mühendisliði, Kimya, Otomotiv, Üretim / Endüstriyel Ürünler, Tekstil, Saðlýk, Ege Üniversitesi, Anadolu Üniversitesi, Uludað Üniversitesi, Gazi Üniversitesi, Kocaeli Üniversitesi, AutoCAD,CAD/CAM,CATIA,CNC,ISO 16949,39,
Araþtýrma Geliþtirme / Arge Uzmaný, 5.010, 2.580, 7.430,Kimya, Makine Mühendisliði, Kimya Mühendisliði, Gýda Mühendisliði, Elektrik/Elektronik Mühendisliði, Saðlýk, Kimya, Otomotiv, Gýda, Biliþim, Ýstanbul Teknik Üniversitesi (ÝTÜ), Ege Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Orta Doðu Teknik Üniversitesi (ODTÜ), Hacettepe Üniversitesi, Altium Desinger,AutoCAD,C++,CAD/CAM,CATIA,80,
Araþtýrmacý, 5.980, 2.550, 9.410,Kimya, Elektrik/Elektronik Mühendisliði, Makine Mühendisliði, Bilgisayar Mühendisliði, Biyoloji, Eðitim, Hizmet, Saðlýk, Biliþim, Üretim / Endüstriyel Ürünler, Orta Doðu Teknik Üniversitesi (ODTÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), Hacettepe Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Ege Üniversitesi, AutoCAD,C,C Programming Language,C++,Java,31,
Arayüz Yazýlým Uzmaný, 5.790, 2.830, 8.750,Bilgisayar Mühendisliði, Bilgisayar Teknolojisi ve Programlama (MYO), Bilgisayar Programcýlýðý, Ýþletme, Yazýlým Mühendisliði, Biliþim, Ticaret, Reklam ve Tanýtým, Turizm, Finans - Ekonomi, Anadolu Üniversitesi, Kocaeli Üniversitesi, Sakarya Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Yýldýz Teknik Üniversitesi (YTÜ), Adobe Illustrator,Adobe Photoshop,Bootstrap 4,C#,CSS,31,
AR-GE Mühendisi, 4.260, 2.080, 6.450,Makine Mühendisliði, Elektrik/Elektronik Mühendisliði, Kimya Mühendisliði, Kimya, Mekatronik Mühendisliði, Üretim / Endüstriyel Ürünler, Otomotiv, Elektrik & Elektronik, Kimya, Biliþim, Yýldýz Teknik Üniversitesi (YTÜ), Kocaeli Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Ege Üniversitesi, Orta Doðu Teknik Üniversitesi (ODTÜ), 3D Tasarým ve Modelleme Uygulamasý,Ansys,Ansys Fluent,Ansys Workbench,AutoCAD,171,
AR-GE ve Kalite Uzmaný, 3.820, 2.380, 5.340,Kimya, Kimya Mühendisliði, Gýda Mühendisliði, Ýþletme, Gýda Teknolojisi (MYO), Kimya, Gýda, Üretim / Endüstriyel Ürünler, Saðlýk, Maden ve Metal Sanayi, Anadolu Üniversitesi, Ege Üniversitesi, Kocaeli Üniversitesi, Dokuz Eylül Üniversitesi, Afyon Kocatepe Üniversitesi, AutoCAD,GCMS / HPLC,ISO 14001,ISO 18001,ISO 9001,21,
Arkeolog, 3.260, 2.020, 5.440,Arkeoloji, Arkeoloji ve Sanat Tarihi, Sanat Tarihi, Tarih, Kamu Yönetimi, Eðitim, Yapý, Hizmet, Eðlence - Kültür - Sanat, Turizm, Ýstanbul Üniversitesi (ÝÜ), Ege Üniversitesi, Pamukkale Üniversitesi, Selçuk Üniversitesi, Ankara Üniversitesi, Adobe Illustrator,Adobe Photoshop,AutoCAD,CorelDraw,Photoshop,4,
Armador, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Armatör, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Arþiv Memuru, 2.910, 2.020, 3.860,Bilgi ve Belge Yönetimi, Ýþletme, Kamu Yönetimi, Ýktisat, Maliye, Arþiv Yönetimi ve Saklama, Finans - Ekonomi, Saðlýk, Eðitim, Hizmet, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Sakarya Üniversitesi, Hacettepe Üniversitesi, Adobe Photoshop,Dosyalama Ve Arþivleme,Halkla Ýliþkiler,Mali tablolar analizi,Maliyet Muhasebesi,22,
Arþiv Sorumlusu, 2.680, 2.020, 3.350,Bilgi ve Belge Yönetimi, Ýþletme, Týbbi Dokümantasyon ve Sekreterlik (MYO), Kamu Yönetimi, Dýþ Ticaret (MYO), Arþiv Yönetimi ve Saklama, Saðlýk, Hizmet, Yapý, Finans - Ekonomi, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Kocaeli Üniversitesi, Dumlupýnar Üniversitesi, Adobe Photoshop,-, -, -, -, 40,
Arþiv Uzmaný, 3.920, 2.100, 6.320,Bilgi ve Belge Yönetimi, Tarih, Ýþletme, Kamu Yönetimi, Ýktisat, Arþiv Yönetimi ve Saklama, Biliþim, Medya, Hizmet, Yapý, Ýstanbul Üniversitesi (ÝÜ), Anadolu Üniversitesi, Marmara Üniversitesi, Hacettepe Üniversitesi, Ankara Üniversitesi, Adobe Photoshop,AutoCAD,Dosyalama Ve Arþivleme,MS SQL Server,-, 19,
Arþiv Yöneticisi, 4.640, 3.770, 7.010,Bilgi ve Belge Yönetimi, Ýþletme, Ýktisat, Kamu Yönetimi, Yerel Yönetimler (MYO), Arþiv Yönetimi ve Saklama, Yapý, Enerji, Finans - Ekonomi, Medya, Ýstanbul Üniversitesi (ÝÜ), Anadolu Üniversitesi, Marmara Üniversitesi, Hacettepe Üniversitesi, Adýyaman Üniversitesi, Bilgisayar Destekli Tasarým Araçlarý,Depo Operasyon,-, -, -, 4,
Asansör Ustasý, 4.630, 3.500, 6.550,Elektrik (MYO), Tarým Alet ve Makineleri (MYO), Kamu Yönetimi, Mekatronik (MYO), Makine (MYO), Yapý, Eðitim, Maden ve Metal Sanayi, Atýk Yönetimi ve Geri Dönüþüm, Üretim / Endüstriyel Ürünler, Anadolu Üniversitesi, Akdeniz Üniversitesi, Gazi Üniversitesi, Karabük Üniversitesi, Tehran Üniversitesi, AutoCAD,Bakým Onarým,Elektrik Kumanda Panolarý,Elektrik/Elektronik,Elektronik Kart Tamiri,7,
Asfalt Plent Operatörü, 4.370, 2.750, 6.340,Elektrik (MYO), Endüstriyel Elektronik (MYO), Ýþletme, Ýnþaat (MYO), Kamu Yönetimi, Yapý, Üretim / Endüstriyel Ürünler, Taþýmacýlýk, Çevre, Elektrik & Elektronik, Anadolu Üniversitesi, Kahramanmaraþ Sütçü Ýmam Üniversitesi, Trakya Üniversitesi, Ömer Halisdemir  Üniversitesi, Atatürk Üniversitesi, Beton santralleri,Cnc Freze,Metal,Otomasyon Sistemleri,-, 8,
Asistan, -, -, -, Ýþletme, Büro Yönetimi ve Yönetici Asistanlýðý (MYO), Ýktisat, Kamu Yönetimi, Dýþ Ticaret (MYO), Hizmet, Saðlýk, Danýþmanlýk, Eðitim, Yapý, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Atatürk Üniversitesi, Kocaeli Üniversitesi, Marmara Üniversitesi, Microsoft Office,Ticaret,Bilgisayar,Personel Maliyet,Microsoft Office Word,-,
Asp.net Yazýlým Mühendisi, 4.810, 2.500, 7.760,Bilgisayar Mühendisliði, Yazýlým Mühendisliði, Bilgisayar Teknolojisi ve Programlama (MYO), Bilgisayar Programcýlýðý, Elektrik/Elektronik Mühendisliði, Biliþim, Finans - Ekonomi, Üretim / Endüstriyel Ürünler, Hizmet, Telekomünikasyon, Sakarya Üniversitesi, Kocaeli Üniversitesi, Fýrat Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Ýstanbul Üniversitesi (ÝÜ), Android Uygulama Geliþtirme,ASP.NET,Asp.Net Mvc,ASP.NET Web Api,C,42,
Asteðmen, 5.350, 3.920, 6.780,Makine Mühendisliði, Ýþletme, Elektrik/Elektronik Mühendisliði, Ýktisat, Ýnþaat Mühendisliði, Güvenlik, Hizmet, Üretim / Endüstriyel Ürünler, Yapý, Biliþim, Kocaeli Üniversitesi, Karabük Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Ondokuz Mayýs Üniversitesi, Sakarya Üniversitesi, Depo Ve Lojistik Yönetimi,Finansal Analiz,Finansal tablo analizi,Fizibilite,GCMS / HPLC,7,
Astronomi Öðretmeni, 3.420, 2.500, 4.710,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 7,
Astsubay, 6.760, 4.800, 8.730,Ýþletme, Kamu Yönetimi, Ýktisat, Elektrik (MYO), Halkla Ýliþkiler, Güvenlik, Havacýlýk, Üretim / Endüstriyel Ürünler, Taþýmacýlýk, Elektrik & Elektronik, Anadolu Üniversitesi, Kara Kuvvetleri Astsubay Meslek Yüksek Okulu, Hava Astsubay Meslek Yüksek Okulu, Deniz Astsubay Meslek Yüksek Okulu, Selçuk Üniversitesi, Depo Ve Lojistik Yönetimi,Depo Ve Stok Yönetimi,Elektrik/Elektronik,Ýnsan Kaynaklarý Yönetimi,Ýþçi Saðlýðý ve Ýþ Güvenliði,23,
Aþçý, 3.300, 2.170, 4.430,Aþçýlýk (MYO), Turizm ve Otel Ýþletmeciliði (MYO), Gastronomi ve Mutfak Sanatlarý, Ýþletme, Turizm Ýþletmeciliði ve Otelcilik, Gýda, Turizm, Eðlence - Kültür - Sanat, Hizmet, Yapý, Anadolu Üniversitesi, Muðla Üniversitesi, Adnan Menderes Üniversitesi, Abant Ýzzet Baysal Üniversitesi, Akdeniz Üniversitesi, Macbook Pro,Hedefleri Olan,Hayel Kurmak,Kazýk Hasarlarý,Aþçýlýk,533,
Aþçýbaþý, 5.540, 2.530, 8.550,Aþçýlýk (MYO), Turizm ve Otel Ýþletmeciliði (MYO), Gastronomi ve Mutfak Sanatlarý, Ýþletme, Turizm - Otelcilik, Gýda, Turizm, Eðlence - Kültür - Sanat, Yapý, Denizcilik, Anadolu Üniversitesi, Abant Ýzzet Baysal Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Akdeniz Üniversitesi, Muðla Üniversitesi, Gýda Mevzuatý,HACCP,ISO 22000 Gýda Güvenliði HACCP,Ýþçi Saðlýðý ve Ýþ Güvenliði,Maliyet Kontrol,190,
Aviyonik Mühendisi, 8.320, 3.000, 14.260,Elektrik/Elektronik Mühendisliði, Bilgisayar Mühendisliði, Elektronik ve Haberleþme Müh., Elektronik Mühendisliði, Elektrik Mühendisliði, Havacýlýk, Üretim / Endüstriyel Ürünler, Elektrik & Elektronik, Telekomünikasyon, Biliþim, Ýstanbul Teknik Üniversitesi (ÝTÜ), Gazi Üniversitesi, Eskiþehir Osmangazi Üniversitesi, Hacettepe Üniversitesi, Orta Doðu Teknik Üniversitesi (ODTÜ), Altium Desinger,AutoCAD,C,C Programming Language,C#,7,
Aviyonik Teknisyeni, 5.970, 3.500, 8.540,Uçak Elektrik/Elektroniði, Ýþletme, Ýktisat, Havacýlýk Elektrik ve Elektroniði, Elektronik Teknolojisi, Havacýlýk, Elektrik & Elektronik, Üretim / Endüstriyel Ürünler, Taþýmacýlýk, Otomotiv, Anadolu Üniversitesi, Kocaeli Üniversitesi, Hava Astsubay Meslek Yüksek Okulu, Erciyes Üniversitesi, Gazi Üniversitesi, AutoCAD,Elektrik/Elektronik,Güç elektroniði,Mikroiþlemciler,Pnömatik,14,
Avrupa Birliði Proje Uzmaný, -, -, -, Uluslararasý Ýliþkiler, Ýþletme, Endüstri Mühendisliði, Sosyoloji, Ýktisat, Danýþmanlýk, Yapý, Eðitim, Topluluklar, Biliþim, Ankara Üniversitesi, Hacettepe Üniversitesi, Mimar Sinan Güzel Sanatlar Üniversitesi, Orta Doðu Teknik Üniversitesi (ODTÜ), Ýstanbul Üniversitesi (ÝÜ), Adobe Illustrator,BT,CSS,Data Analysis,Dýþ Ticaret,-,
Avukat, 4.370, 2.020, 6.790,Hukuk, Adalet Meslek Yüksekokulu (MYO), Ýþletme, Kamu Yönetimi, Ýktisat, Danýþmanlýk, Finans - Ekonomi, Yapý, Hizmet, Enerji, Marmara Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Ankara Üniversitesi, Dokuz Eylül Üniversitesi, Selçuk Üniversitesi, Borçlar Hukuku,Ýþ hukuku,Uyap,-, -, 996,
Avukat Katibi, 2.570, 2.040, 3.090,Adalet Meslek Yüksekokulu (MYO), Adalet (MYO), Ýþletme, Kamu Yönetimi, Büro Yönetimi ve Yönetici Asistanlýðý (MYO), Danýþmanlýk, Hizmet, Saðlýk, Gýda, Finans - Ekonomi, Anadolu Üniversitesi, Selçuk Üniversitesi, Atatürk Üniversitesi, Süleyman Demirel Üniversitesi, Ankara Üniversitesi, Uyap,-, -, -, -, 41,
Ayakkabý Tasarýmcýsý, 5.340, 2.800, 7.930,Ayakkabý Tasarýmý (MYO), Moda ve Tekstil Tasarýmý, Moda Tasarýmý, Endüstriyel Tasarým, Endüstri Ürünleri Tasarýmý, Tekstil, Yapý, Ticaret, Biliþim, Üretim / Endüstriyel Ürünler, Ýstanbul Aydýn Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Dokuz Eylül Üniversitesi, Anadolu Üniversitesi, Mimar Sinan Güzel Sanatlar Üniversitesi, 3D Tasarým ve Modelleme Uygulamasý,Adobe Illustrator,Adobe Photoshop,CorelDraw,-, 11,
Aydýnlatma Tasarýmcýsý, 14.240, 2.470, 41.290,Elektrik Mühendisliði, Mimarlýk, Endüstriyel Tasarým, Elektrik (MYO), Elektrik/Elektronik Mühendisliði, Elektrik & Elektronik, Ticaret, Biliþim, Yapý, Hizmet, Yýldýz Teknik Üniversitesi (YTÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), Yeditepe Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, 3D Studio Max,Adobe After Effects,Adobe Illustrator,Adobe Photoshop,AutoCAD,3,
B Sýnýfý Ýþ Güvenliði Uzmaný, 4.130, 2.730, 5.540,Kimya, Fizik, Çevre Mühendisliði, Jeoloji Mühendisliði, Biyoloji, Yapý, Saðlýk, Çevre, Hizmet, Danýþmanlýk, Kocaeli Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Çukurova Üniversitesi, Süleyman Demirel Üniversitesi, Karadeniz Teknik Üniversitesi (KTÜ), AutoCAD,ISO 14001,ISO 9001,ÝSÝG (Ýþçi Saðlýðý ve Ýþ Güvenliði) Mevzuatý,Ýþçi Saðlýðý ve Ýþ Güvenliði,733,
Backoffice Müdürü, 4.240, 2.200, 6.800,Ýþletme, Ýktisat, Radyo ve Televizyon Programcýlýðý (MYO), Endüstri Mühendisliði, Konaklama ve Turizm Ýþletmeciliði, Telekomünikasyon, Biliþim, Danýþmanlýk, Turizm, Elektrik & Elektronik, Anadolu Üniversitesi, Hacettepe Üniversitesi, Manisa Celal Bayar Üniversitesi, Muðla Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), AutoCAD,CANIAS ERP,CRM,Database,Java,11,
Baðlama Öðretmeni, -, -, -, Türk Halk Müziði, Ýþletme, Müzik Öðretmenliði, Türk Musikisi, Müzik Topluluklarý, -, -, -, -, -, Ege Üniversitesi, Sakarya Üniversitesi, Anadolu Üniversitesi, Atatürk Üniversitesi, Gaziantep Üniversitesi, Baðlama Çalmak,Müzik,Microsoft Office Excel,Þarký Söylemek,Sorumluluk Sahibi,-,
Bahçývan, 2.690, 2.020, 3.380,Peyzaj ve Süs Bitkileri (MYO), Bahçe Ziraatý (MYO), Ýþletme, Seracýlýk (MYO), Ýlahiyat, Yapý, Turizm, Tarým / Ziraat, Hizmet, Çevre, Anadolu Üniversitesi, Ömer Halisdemir  Üniversitesi, Ege Üniversitesi, Kocaeli Üniversitesi, Namýk Kemal Üniversitesi, Peyzaj,-, -, -, -, 19,
Bakým Müdürü, 10.080, 4.850, 15.310,Makine Mühendisliði, Elektrik/Elektronik Mühendisliði, Elektrik Mühendisliði, Elektronik Mühendisliði, Elektronik ve Haberleþme Müh., Otomotiv, Maden ve Metal Sanayi, Üretim / Endüstriyel Ürünler, Enerji, Kimya, Yýldýz Teknik Üniversitesi (YTÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), Kocaeli Üniversitesi, Orta Doðu Teknik Üniversitesi (ODTÜ), Karadeniz Teknik Üniversitesi (KTÜ), 5S,AutoCAD,Bakým Planlama,Elektrik Kumanda Panolarý,Elektrik Motorlarý,117,
